id,date,holiday
274,2020-02-24,Carnaval
275,2020-02-25,Carnaval
276,2020-04-10,Sexta-feira Santa
277,2020-04-21,Tiradentes
278,2020-05-01,Dia do Trabalho
279,2020-06-11,Corpus Christi
280,2020-11-20,Dia Nacional da Consciência Negra
281,2020-12-24,Véspera de Natal
282,2020-12-25,Natal
283,2020-12-31,Véspera de Ano-Novo
284,2021-01-01,Confraternização Universal
285,2021-02-15,Carnaval
286,2021-02-16,Carnaval
287,2021-04-02,Sexta-feira Santa
288,2021-04-21,Tiradentes
289,2021-06-03,Corpus Christi
290,2021-12-24,Véspera de Natal
291,2021-12-31,Véspera de Ano-Novo
292,2022-02-28,Carnaval
293,2022-03-01,Carnaval
294,2022-04-15,Sexta-feira Santa
295,2022-04-21,Tiradentes
296,2022-06-16,Corpus Christi
297,2023-02-20,Carnaval
298,2023-02-21,Carnaval
299,2023-04-07,Sexta-feira Santa
300,2023-04-21,Tiradentes
301,2023-05-01,Dia do Trabalho
302,2023-06-08,Corpus Christi
303,2023-11-20,Dia Nacional da Consciência Negra
304,2023-12-25,Natal
305,2024-01-01,Confraternização Universal
306,2024-02-12,Carnaval
307,2024-02-13,Carnaval
308,2024-03-29,Sexta-feira Santa
309,2024-05-01,Dia do Trabalho
310,2024-05-30,Corpus Christi
311,2024-11-20,Dia Nacional da Consciência Negra
312,2024-12-24,Véspera de Natal
313,2024-12-25,Natal
314,2024-12-31,Véspera de Ano-Novo
315,2025-01-01,Confraternização Universal
316,2025-03-03,Carnaval
317,2025-03-04,Carnaval
318,2025-04-18,Sexta-feira Santa
319,2025-04-21,Tiradentes
320,2025-05-01,Dia do Trabalho
321,2025-06-19,Corpus Christi
322,2025-11-20,Dia Nacional da Consciência Negra
323,2025-12-24,Véspera de Natal
324,2025-12-25,Natal
325,2025-12-31,Véspera de Ano-Novo
326,2026-01-01,Confraternização Universal
327,2026-02-16,Carnaval
328,2026-02-17,Carnaval
329,2026-04-03,Sexta-feira Santa
330,2026-04-21,Tiradentes
331,2026-05-01,Dia do Trabalho
332,2026-06-04,Corpus Christi
333,2026-11-20,Dia Nacional da Consciência Negra
334,2026-12-24,Véspera de Natal
335,2026-12-25,Natal
336,2026-12-31,Véspera de Ano-Novo
337,2027-01-01,Confraternização Universal
338,2027-02-08,Carnaval
339,2027-02-09,Carnaval
340,2027-03-26,Sexta-feira Santa
341,2027-04-21,Tiradentes
342,2027-05-27,Corpus Christi
343,2027-12-24,Véspera de Natal
344,2027-12-31,Véspera de Ano-Novo
345,2028-02-28,Carnaval
346,2028-02-29,Carnaval
347,2028-04-14,Sexta-feira Santa
348,2028-04-21,Tiradentes
349,2028-05-01,Dia do Trabalho
350,2028-06-15,Corpus Christi
351,2028-11-20,Dia Nacional da Consciência Negra
352,2028-12-25,Natal
353,2029-01-01,Confraternização Universal
354,2029-02-12,Carnaval
355,2029-02-13,Carnaval
356,2029-03-30,Sexta-feira Santa
357,2029-05-01,Dia do Trabalho
358,2029-05-31,Corpus Christi
359,2029-11-20,Dia Nacional da Consciência Negra
360,2029-12-24,Véspera de Natal
361,2029-12-25,Natal
362,2029-12-31,Véspera de Ano-Novo
363,2030-01-01,Confraternização Universal
364,2030-03-04,Carnaval
365,2030-03-05,Carnaval
366,2030-04-19,Sexta-feira Santa
367,2030-05-01,Dia do Trabalho
368,2030-06-20,Corpus Christi
369,2030-11-20,Dia Nacional da Consciência Negra
370,2030-12-24,Véspera de Natal
371,2030-12-25,Natal
372,2030-12-31,Véspera de Ano-Novo
373,2031-01-01,Confraternização Universal
374,2031-02-24,Carnaval
375,2031-02-25,Carnaval
376,2031-04-11,Sexta-feira Santa
377,2031-04-21,Tiradentes
378,2031-05-01,Dia do Trabalho
379,2031-06-12,Corpus Christi
380,2031-11-20,Dia Nacional da Consciência Negra
381,2031-12-24,Véspera de Natal
382,2031-12-25,Natal
383,2031-12-31,Véspera de Ano-Novo
384,2032-01-01,Confraternização Universal
385,2032-02-09,Carnaval
386,2032-02-10,Carnaval
387,2032-03-26,Sexta-feira Santa
388,2032-04-21,Tiradentes
389,2032-05-27,Corpus Christi
390,2032-12-24,Véspera de Natal
391,2032-12-31,Véspera de Ano-Novo
392,2033-02-28,Carnaval
393,2033-03-01,Carnaval
394,2033-04-15,Sexta-feira Santa
395,2033-04-21,Tiradentes
396,2033-06-16,Corpus Christi
397,2034-02-20,Carnaval
398,2034-02-21,Carnaval
399,2034-04-07,Sexta-feira Santa
400,2034-04-21,Tiradentes
401,2034-05-01,Dia do Trabalho
402,2034-06-08,Corpus Christi
403,2034-11-20,Dia Nacional da Consciência Negra
404,2034-12-25,Natal
405,2035-01-01,Confraternização Universal
406,2035-02-05,Carnaval
